Club,Dernière montée,Classement (dernier disponible),Entraîneur,Stade,Capacité,Nombre de saisons en L1,Latitude,Longitude
Paris Saint-Germain,1974,1er,Luis Enrique,Parc des Princes,47 929,52,48.8413634,2.2530693
AS Monaco,2013,2e,Adi Hütter,Stade Louis-II,16 500,66,45.9951724,1.0402073
Stade brestois 29,2019,3e,Éric Roy,Stade Francis-Le Blé,15 220,19,48.4030422,-4.4613605
LOSC Lille,2000,4e,Bruno Genesio,Stade Pierre-Mauroy,50 186,65,50.6119044,3.130508
OGC Nice,2002,5e,Franck Haise,Allianz Riviera,35 596,66,43.7051477,7.1926033
Olympique lyonnais,1989,6e,Paulo Fonseca,Groupama Stadium,57 206,67,45.7653624,4.9820543
RC Lens,2020,7e,Will Still,Stade Bollaert-Delelis,38 223,63,50.43281,2.8149878
Olympique de Marseille,1996,8e,Roberto De Zerbi,Orange Vélodrome,66 226,75,43.269835,5.3959117
Stade de Reims,2018,9e,Samba Diawara,Stade Auguste-Delaune,20 546,40,49.2470758,4.0247869
Stade rennais FC,1994,10e,Habib Beye,Roazhon Park,29 778,68,48.1075655,-1.7126543
Toulouse FC,2022,11e,Carles Martínez Novell,Stadium de Toulouse,33 150,35,43.5832262,1.4340638
Montpellier HSC,2009,12e,Zoumana Camara,Stade de la Mosson,22 000,43,43.622022,3.8120898
RC Strasbourg,2017,13e,Liam Rosenior,Stade de la Meinau,26 109,64,48.5600477,7.7551252
FC Nantes,2013,14e,Antoine Kombouaré,Stade de la Beaujoire,35 322,57,47.256005,-1.5247552
Le Havre AC,2023,15e,Didier Digard,Stade Océane,25 178,26,49.4987513,0.1694637
AJ Auxerre,2024,1er(Ligue 2),Christophe Pélissier,Stade de l'Abbé-Deschamps,18 541,34,,
Angers SCO,2024,2e(Ligue 2),Alexandre Dujeux,Stade Raymond-Kopa,19 350,32,47.4605516,-0.5306948
AS Saint-Étienne,2024,3e(Ligue 2),Eirik Horneland,Stade Geoffroy-Guichard,41 965,70,45.4607567,4.3900932
